"tokenAddress","positionId","deployer","fid","name","symbol","supply","lockerAddress","castHash"
"0x27349424088C0CaE7AF247b47231350558aF64a6",1519134,"0x38aCF4d8e6aAF67767983C6EAC6bF1eC759d7696",904031,"Book Of Super Memes","SUPERBOME",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x78df51ab712261dbe3a7988f6762a5c09ab7ec72"
"0x41FF9aA57a53B16F9ce131fE1603055eB644334E",1519150,"0xEC04AAE524074C5334d781e36697CA46819f1f87",904036,"Based Purple on Base","Based Purple",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x90092a03227834343c24bacaa2c26f7866e5cf2a"
"0x0b28Ee85b7738A704984206572a8CCC5ad39a0a4",1519199,"0x7998eFfAAB521426ac8E9857982c40dFCb1114E3",903317,"Based-META","BM",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x2a2e15affed67acdaca1a1b349d4b2ae217144be"
"0x146eAa3B0e857c1Cf17a50f0ebBd89ae6bCba6d8",1519225,"0x5E5CA521193bd24Fb3124A419a3dca6D780F7A3e",354393,"Pump","pump",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x4b71b8a4054988e292b90c5567a9453aee96b8b6"
"0x2a691c4AC3acA610aC71e60D26922e4C57F6EFF0",1519238,"0x52E34568F47F390805655a27BbaDFaa7A760B506",903956,"Captain Cat Miggles","CPCM",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x683d114220195a7f7075e3d4e55b09ba87b1e1dc"
"0x32b8d7543A1985180778Aad9dA07F5eab39c6Be0",1519243,"0x08d05cDDF1c7116dD85dAEF72BcB080fACb0B7A8",902604,"Glitch Hex","GHEX",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xa6a16dedea26365c30998c4953d8959ef47df22f"
"0x318Fad6274466b7f8050fa9D6F7AFCF553980b03",1519246,"0x7Bf5774d0E98B00dbC045B189081e2e0dAC8EDa2",903884,"Glitch Hex","GHEX",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x46d1e81bd2a6ef11557e93e6205d0ae94b7eea13"
"0x319Fc2c69C6535C348b7A01e3890A8Cab0c3A1d9",1519251,"0x2680BFe424B20B60f60b5c3de7Bf232f89EDc68a",535087,"DEATH NOTE","DEATH",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xcbd80ec0cb9b928402fe54e5252c389c78795247"
"0x0b397060027317a0bCE926b94afD5f5563320Adf",1519254,"0xB5Aa9Fa06bF6Bc1CCabdb76AC7473264aB31e974",393855,"Above the sky","SKY",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0xd2edc88f8a36e1a25cfabc50859b44af47b18d15"
"0x13b5322f5D59D6344Bddf1f99a5A5D2DF0329425",1519258,"0xCb7F3FEbBD5AA08D99bCBb309f2c516e2BA2389B",904025,"CLANKHUB","CLANKHUB",100000000000000000000000000000,"0x618A9840691334eE8d24445a4AdA4284Bf42417D","0x0d5cb322e24eb7284cfcfaae8e73530c7f09fc37"
